"home_team_id","away_team_id","home_goals","away_goals"
2,13,6,0
4,17,4,1
6,1,1,3
8,18,1,3
10,9,1,2
16,15,2,1
14,3,3,3
12,5,0,1
11,7,0,0
7,14,0,2
9,4,1,3
13,8,2,0
15,11,1,0
17,10,3,3
1,2,2,3
18,12,1,1
3,16,3,0
5,6,4,1
10,4,3,1
6,15,3,1
8,3,0,2
12,13,0,1
16,9,2,4
18,5,3,3
2,7,5,0
14,1,2,1
11,17,0,4
15,14,2,0
1,12,1,4
7,8,2,1
9,2,1,4
17,6,0,3
13,5,3,1
4,16,3,4
10,11,1,1
3,18,1,0
2,17,4,0
8,1,2,1
12,3,0,2
14,10,1,2
18,13,0,1
11,4,4,6
6,9,1,1
5,15,1,2
16,7,0,0
9,5,0,1
1,18,3,1
3,13,1,1
10,16,2,0
17,14,1,0
4,2,0,3
15,8,1,0
7,12,4,0
11,6,0,0
16,11,3,1
5,1,1,1
8,17,2,2
12,10,3,4
13,7,2,1
18,15,0,3
2,3,2,1
6,4,2,2
14,9,0,3
17,16,1,0
1,13,0,6
4,14,2,0
7,18,0,1
9,8,3,1
11,2,0,3
3,5,1,0
10,6,2,0
15,12,2,1
1,3,0,1
8,4,1,1
12,17,1,1
13,15,3,1
14,11,0,4
16,6,0,0
2,10,3,0
5,7,4,1
18,9,2,3
17,18,2,1
7,3,1,1
9,13,3,1
10,8,6,0
16,2,2,2
11,5,3,1
6,14,2,1
15,1,3,2
4,12,1,0
12,9,1,1
1,7,1,0
2,6,6,2
3,15,3,3
8,11,0,3
18,10,1,3
5,4,3,4
13,17,2,0
14,16,0,1
11,13,0,0
2,14,3,1
9,1,3,0
16,8,1,2
17,5,1,1
10,3,1,2
7,15,2,1
4,18,1,1
6,12,4,0
12,11,0,1
1,10,2,0
5,14,1,1
8,6,2,1
15,2,0,5
18,16,3,1
13,4,6,0
7,17,3,2
3,9,2,0
16,13,3,1
4,1,1,0
9,7,4,1
11,18,1,3
14,8,2,1
10,5,2,0
6,3,1,1
2,12,2,2
17,15,0,4
3,11,2,0
1,17,0,0
5,16,0,1
7,4,1,1
15,9,0,0
18,6,3,4
13,10,1,3
12,14,0,0
8,2,0,4
4,3,3,3
6,7,2,1
8,5,2,2
16,12,2,2
10,15,1,4
11,1,4,0
2,18,8,1
15,4,3,2
3,17,3,0
12,8,2,1
18,14,2,1
5,2,1,3
9,11,5,1
13,6,2,0
1,16,1,1
17,4,3,3
3,14,3,2
5,12,2,1
7,11,0,0
9,10,1,0
18,8,1,1
13,2,1,5
15,16,1,1
1,6,2,2
14,7,0,0
2,1,1,2
4,9,1,3
8,13,0,3
10,17,1,0
12,18,3,1
16,3,0,3
11,15,0,3
6,5,2,1
14,13,1,1
17,9,0,2
5,18,1,0
1,14,2,1
4,10,1,3
9,16,3,1
13,12,1,2
17,11,1,1
7,2,2,2
15,6,1,0
3,8,3,2
16,4,1,1
6,17,1,0
8,7,0,2
12,1,2,0
14,15,2,1
18,3,1,2
11,10,1,1
5,13,1,2
2,9,5,1
3,12,4,0
4,11,3,0
7,16,3,2
9,6,3,0
10,14,4,0
17,2,0,3
15,5,3,1
1,8,1,0
13,18,2,2
12,7,1,1
2,4,3,2
5,9,2,2
16,10,1,0
18,1,2,3
13,3,2,2
6,11,2,1
14,17,2,1
8,15,3,3
1,5,2,0
